event_id,event_name,status,image_url,official_url,start_date,end_date,location,team_count,nearest_station,parking_info,description,youtube_url,latitude,longitude,map_url,updated_at,note
yosakoi_soran_2026,YOSAKOIソーラン祭り,Progress,,https://www.yosakoi-soran.jp/,2026-06-10,2026-06-10,北海道札幌市（大通公園西8丁目会場ほか札幌市内各所）,,地下鉄「大通」駅 / 地下鉄東西線「西11丁目」駅,公式サイトに駐車場案内なし,高知のよさこい祭りをルーツに、鳴子と北海道の民謡ソーラン節をミックスして誕生した祭り。,,,,,,参加申し込みページで受付終了を確認。大通公園西8丁目会場は大通駅5番出口徒歩約8分、西11丁目駅4番出口徒歩約4分。
yosakoi_kochi_2026,よさこい祭り,Progress,,https://www.cciweb.or.jp/kochi/yosakoiweb/,2026-08-09,2026-08-12,高知県高知市,約200チーム,JR高知駅 / はりまや橋電停,公式サイトに駐車場案内なし,"南国土佐の夏を彩る祭りで、市内9カ所の競演場・7カ所の演舞場で約200チーム、約18,000人が踊る。",,,,,,東洋電化中央公園競演場はJR高知駅から南へ徒歩15分、はりまや橋電停から西へ徒歩3分。
sendai_michinoku_yosakoi_2026,仙台みちのくYOSAKOIまつり,Progress,,https://michinoku-yosakoi.net/,2026-10-10,2026-10-11,宮城県仙台市,,仙台地下鉄南北線「勾当台公園駅」,会場間移動は仙台市地下鉄推奨。公式サイトに駐車場案内なし,「東北はひとつ」を合言葉にした祭りで、東北の民謡や地域性を生かした演舞が魅力。,,,,,,2025年の会場案内では勾当台公園会場がメイン会場で、勾当台公園駅公園1出口からすぐ。
nippon_domatsuri_2026,にっぽんど真ん中祭り,Progress,,https://www.domatsuri.com/,2026-08-28,2026-08-30,愛知県名古屋市（久屋大通公園会場ほか愛知県内各所）,,地下鉄名城線「矢場町」駅 / 地下鉄東山線・名城線「栄」駅,公式サイトに駐車場案内なし,日本最大級の踊りの祭典として、真夏の名古屋を舞台に開催される。,,,,,,久屋大通公園会場メインステージは矢場町駅2・5・6出口徒歩1分、栄駅15番出口徒歩3分。
tokyo_yosakoi_2026,東京よさこい,Progress,,https://tokyo-yosakoi.jp/,2026-10-10,2026-10-11,東京都豊島区池袋周辺,毎年110チーム規模,池袋駅,公式サイトに駐車場案内なし,池袋を中心に開催される都内最大級のよさこい祭りで、全国から集まる踊り子が街を彩る。,,,,,,参加チーム一覧は準備中。池袋5会場が徒歩5分圏内に集約。
kyoto_sakura_yosakoi_2026,京都さくらよさこい,Progress,,https://www.sakuyosa.com/,2026-04-04,2026-04-05,京都市内各地（平安神宮前 神宮道スペシャルステージ、二条城会場ほか）,約100チーム,,,関西最大級のよさこいイベント。学生の街・京都が創った祭りで、春の京都市内各地を彩る。,,,,,,開催概要PDFでは参加チーム約100チーム、4000名と記載
anotsu_yosakoi_2026,安濃津よさこい,Progress,,https://anotsu-yosakoi.com/,2026-10-10,2026-10-11,三重県津市内各会場,,,,歴史と伝統を重んじながら、広く開かれた市民参加型のよさこい文化を築くことを目的とする祭り。,,,,,,予定会場としてお城西公園メインステージ、裁判所前会場、津中央郵便局前会場、フェニックス会場、津駅前会場、津新町通り会場が記載
harajuku_super_yosakoi_2026,原宿表参道元氣祭スーパーよさこい,Progress,,https://www.super-yosakoi.tokyo/,2026-08-29,2026-08-30,東京都渋谷区原宿・表参道周辺,,,,原宿・表参道周辺で開催される明治神宮奉納のよさこい祭り。,,,,,,2026開催日は告知済み。参加条件は最新公開の2025参加申込要項を参照
yosakoi_in_fuchu_2026,よさこいin府中,Progress,,https://www.yosakoiinfuchu.com/aboutus.html,2026-10-31,2026-11-01,東京都府中市（東府中 平和通り会場、馬場大門のけやき並木 流し踊り会場、ミッテン2階ペデ会場、バルトホール会場）,10/31 15チーム、11/1 40チーム,,,けやきフェスタとして開催される府中のよさこい祭り。,,,,,,参加チーム決定6/18、参加書類・参加費締切6/30、参加者説明会9/26 18:30～
yokohama_yosakoi_2026,横浜よさこい祭り～良い世さ来い～,Progress,,https://www.yokohama-yosakoi.com/,2026-10-17,2026-10-18,神奈川県横浜市,,,,市民手作りの横浜よさこい祭り。,,,,,,公式ホームページの年間計画に第11回開催決定、募集開始は5月9日10時からと記載
shonan_yosakoi_2025,湘南よさこい祭り,Progress,,https://shonan-yosakoi.com/,2026-06-07,2026-06-07,神奈川県平塚市（見附台公園・芝生広場、湘南スターモール）,,,,鳴子の響きが湘南ひらつかに夏の訪れを告げる祭り。相州須賀甚句をもとに生まれたオフィシャル曲「須賀よさこい」を軸に、世代と地域を超えた交流と地域経済の活性化を目指す。,https://www.youtube.com/watch?v=ES0v7m4DRUQ,,,,,データ記載日: 2026-04-28 / 募集状況: 参加エントリー受付終了 / 参加条件: 実施概要を確認・承諾のうえ先着受付 / 応募期間: 2026-03-01 10:00受付開始、定員到達で終了 / 更新日: 2026-02-27 / 参照元URL: https://shonan-yosakoi.com/ ; https://shonan-yosakoi.com/2025/index.html
fukukoi_asia_2025,ふくこいアジア祭り,Progress,,https://fukukoi.com/,2025-11-15,2025-11-16,福岡県福岡市（福岡市役所ふれあい広場、JR博多駅前広場、天神中央公園貴賓館前広場）,90チーム予定,JR博多駅 / 地下鉄天神駅,乗用車は一般有料駐車場を利用,「人が元気に」そして「街が元気に」なるように、「福よ来い」と願いを込めて踊る福岡発の祭り。2000年に誕生し、全国各地からチームが集う。,https://www.youtube.com/watch?v=c_3jY5AN5d4,,,,,データ記載日: 2026-04-28 / 募集状況: 参加申込締切済み / 参加条件: 1チーム5名以上、入退場含め5分30秒以内、著作権手続き完了 / 応募期間: 参加申込・チーム写真 2025-08-31締切、ボランティア登録・入金報告・参加費支払 2025-10-31締切 / 更新日: 公式募集要項ページを確認（日付明記なし） / 参照元URL: https://fukukoi.com/ ; https://fukukoi.com/application-requirements
ryoma_yosakoi_2026,龍馬よさこい,Progress,,https://ryomayosakoi.com/,2025-11-08,2025-11-09,京都府京都市（京都霊山護国神社ほか京都市内各所）,,,公共交通機関利用推奨,坂本龍馬ゆかりの京都を舞台に、学生主体で運営されるよさこい祭り。京都霊山護国神社をはじめ京都市内各所で開催される。,https://www.youtube.com/watch?v=-PGyEOFaiWY,,,,,データ記載日: 2026-04-28 / 募集状況: 参加申込は締切済み、学生実行委員と踊り子隊は募集中表記あり / 参加条件: 参加申込 2025-09-01締切、音源提出 2025-09-21締切、参加人数確定 2025-10-01まで、参加チームは2日間で2名以上のボランティア選出必須（遠方チーム除く） / 応募期間: 参加申込は2025-09-01まで / 更新日: 2025-12-21（トップお知らせ最新） / 参照元URL: https://ryomayosakoi.com/ ; https://ryomayosakoi.com/?page_id=196 ; https://ryomayosakoi.com/?page_id=605
yosakoi_tokaido_2025,よさこい東海道,Progress,,https://www.tokaido-yosakoi.com/,2026-11-22,2026-11-23,静岡県沼津市（11/22: アーケード演舞場・上本通り演舞場・かのがわパーク、11/23: キラメッセ）,11/22は40チーム程度、11/23は10チーム程度予定,,,1997年スタートから30年目を迎える沼津のよさこい祭り。より多くの人と世代に楽しんでもらうため、「沼津秋まつり」前日祭として開催される。,https://www.youtube.com/watch?v=3F_NRF-vLEM,,,,,"データ記載日: 2026-04-28 / 募集状況: 2026年参加チーム募集中 / 参加条件: 参加費は1チーム60,000円 / 応募期間: 2026-05-01募集開始 / 更新日: 公式トップに日付明記なし（2026-04-28時点で開催告知を確認） / 参照元URL: https://www.tokaido-yosakoi.com/"
fukui_phoenix_yosakoi_icchorai_2025,福井フェニックス祭りYOSAKOIイッチョライ,Progress,,https://www.icchorai.com/,2025-08-03,2025-08-03,福井県福井市（福井駅前電車通りパレード会場、福井市観光交流センター会場）,,福井駅,,福井フェニックス祭りのよさこい企画として開催されるイベント。パレード会場と観光交流センター会場で、暑い夏の熱い演舞を繰り広げる。,https://www.youtube.com/watch?v=xFHtCiR5JGo,,,,,データ記載日: 2026-04-28 / 募集状況: 参加チーム募集終了 / 参加条件: 公式募集要項・申込フォームから応募 / 応募期間: 2025-06-01募集開始、2025-07-07締切（規定数到達で前倒し終了あり） / 更新日: 2025-07-06（タイムスケジュール確定告知） / 参照元URL: https://www.icchorai.com/ ; https://www.icchorai.com/event/ ; https://m.icchorai.com/event/
yosakoi_sasebo_2025,YOSAKOIさせぼ祭り,Progress,,https://yosa.jp/,2025-10-17,2025-10-19,長崎県佐世保市（名切お祭り広場会場・ハウステンボス会場・佐世保駅前会場ほか）,,,公式サイトに駐車場案内なし,西日本最大級のよさこい祭り。キッズ・学生・百人部門など複数部門を設け、佐世保市内各所で3日間開催される。,https://www.youtube.com/watch?v=zvo2pLdsbAQ,33.175255,129.720871,"https://www.google.com/maps/search/?api=1&query=33.175255,129.720871",,データ記載日: 2026-04-29 / 募集状況: 2025年本祭りエントリー受付終了 / 参加条件: 鳴子を持って鳴らすこと、演舞時間は口上含め4分30秒以内 / 応募期間: 2025-06-02 09:00～2025-07-09 / 更新日: 2025-11-29（公式お知らせ一覧最新） / 参照元URL: https://yosa.jp/ ; https://yosa.jp/entry-outline ; https://yosa.jp/movie2019
senshu_yaejanai_2026,泉州YOSAKOIゑぇじゃないか祭り,Progress,,https://nigiwai-p.jp/eejanaika/,2025-10-13,2025-10-13,大阪府泉佐野市（あさひ賃貸りんくうステージ、府営りんくう公園、りんくうプレジャータウンシークルほか全7会場予定）,約100チーム,,,誰もが参加できるよさこい祭りを通じて、世代や地域を超えた交流と感動の共有を図り、にぎわいのあるまちづくりを目指す祭り。,https://www.youtube.com/channel/UCQITWYwrYL1jvfPIbIYy-Qg,34.41449,135.295395,"https://www.google.com/maps/search/?api=1&query=34.41449,135.295395",,データ記載日: 2026-04-29 / 募集状況: 2025年募集終了 / 参加条件: 鳴子を持って踊ること（伝承の踊り等除く）、演舞時間はMC含め5分以内 / 応募期間: 2025-06-15 09:00～2025-07-05 24:00 / 更新日: 2025-06-05（募集開始日程のお知らせ） / 参照元URL: https://nigiwai-p.jp/eejanaika/ ; https://nigiwai-p.jp/eejanaika/outline ; https://nigiwai-p.jp/news/2025/06/05/news_5186/ ; https://nigiwai-p.jp/kanri/wp-content/uploads/2025/06/%E7%AC%AC21%E5%9B%9E%E3%82%91%E3%81%87%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%8B%E7%A5%AD%E3%82%8A%E5%8F%82%E5%8A%A0%E8%A6%81%E9%A0%85.pdf
yosakoi_kasuya_2025,YOSAKOIかすや祭り,Progress,,https://www.yosakoi-kasuya.com/,2026-10-10,2026-10-11,福岡県粕屋町（かすやドーム会場、交流広場会場、かすや商工祭会場、イオンモール福岡特設会場）,,,周辺駐車場が限られるため公共交通機関利用推奨,町民主体で企画・運営される祭りで、町民相互と全国各地の参加者との交流の輪を広げ、『人づくり・まちづくり・健康づくり』を目指す。,https://youtu.be/7VPww8d9Ltc,33.610748,130.483582,"https://www.google.com/maps/search/?api=1&query=33.610748,130.483582",,データ記載日: 2026-04-29 / 募集状況: 開催決定、申込フォームは後日設置予定 / 参加条件: 原則鳴子を持って踊ること、1回の演舞時間は入退場含め6分以内、町内チームは2日目に1名以上の運営スタッフを派遣 / 応募期間: 2026-06-01～2026-06-30 / 更新日: 2026-04-16 / 参照元URL: https://www.yosakoi-kasuya.com/ ; https://sd24e63b8f6b1dfeb.jimcontent.com/download/version/1760260292/module/14247016690/name/2025Yosakoikasuya%E9%96%8B%E5%82%AC%E6%A6%82%E8%A6%81.pdf
koiya_matsuri_2026,こいや祭り,Progress,,https://koiya.net/,2025-09-27,2025-09-28,大阪府（深北緑地 芝生広場メインステージほか大阪各所）,先着100チーム,,,大阪で開催される市民参加型の踊る祭り。『感動と交流』『みんなで創るみんなの祭り』『非日常空間での踊る祭り』を掲げ、よさこいやソーランなど多様な踊りで街を彩る。,https://www.youtube.com/channel/UCHt2jiZTy4vTX73UGuskDYg,34.727352,135.628754,"https://www.google.com/maps/search/?api=1&query=34.727352,135.628754",,データ記載日: 2026-04-29 / 募集状況: 2025年募集終了 / 参加条件: 関西を拠点に活動する参加チームは当日ボランティア協力あり、通常参加はメインステージ演舞希望、ライト参加は地域会場中心 / 応募期間: 2025-06-10 17:00～2025-06-30 23:59 / 更新日: 2025-08-23（開催概要） / 参照元URL: https://koiya.net/ ; https://koiya.net/about/outline/ ; https://koiya.net/entry/appreq/
