event_id,event_name,status,image_url,official_url,start_date,end_date,location,team_count,nearest_station,parking_info,description,youtube_url,latitude,longitude,map_url,updated_at
yosakoi_soran_2026,YOSAKOIソーラン祭り,Approved,,https://www.yosakoi-soran.jp/,2026-06-10,2026-06-10,北海道札幌市（大通公園西8丁目会場ほか札幌市内各所）,,地下鉄「大通」駅 / 地下鉄東西線「西11丁目」駅,公式サイトに駐車場案内なし,高知のよさこい祭りをルーツに、鳴子と北海道の民謡ソーラン節をミックスして誕生した祭り。,,,,,2026-04-29
yosakoi_kochi_2026,よさこい祭り,Approved,,https://www.cciweb.or.jp/kochi/yosakoiweb/,2026-08-09,2026-08-12,高知県高知市,約200チーム,JR高知駅 / はりまや橋電停,公式サイトに駐車場案内なし,"南国土佐の夏を彩る祭りで、市内9カ所の競演場・7カ所の演舞場で約200チーム、約18,000人が踊る。",,,,,2026-04-29
sendai_michinoku_yosakoi_2026,仙台みちのくYOSAKOIまつり,Approved,,https://michinoku-yosakoi.net/,2026-10-10,2026-10-11,宮城県仙台市,,仙台地下鉄南北線「勾当台公園駅」,会場間移動は仙台市地下鉄推奨。公式サイトに駐車場案内なし,「東北はひとつ」を合言葉にした祭りで、東北の民謡や地域性を生かした演舞が魅力。,,,,,2026-04-29
nippon_domatsuri_2026,にっぽんど真ん中祭り,Approved,,https://www.domatsuri.com/,2026-08-28,2026-08-30,愛知県名古屋市（久屋大通公園会場ほか愛知県内各所）,,地下鉄名城線「矢場町」駅 / 地下鉄東山線・名城線「栄」駅,公式サイトに駐車場案内なし,日本最大級の踊りの祭典として、真夏の名古屋を舞台に開催される。,,,,,2026-04-29
tokyo_yosakoi_2026,東京よさこい,Approved,,https://tokyo-yosakoi.jp/,2026-10-10,2026-10-11,東京都豊島区池袋周辺,毎年110チーム規模,池袋駅,公式サイトに駐車場案内なし,池袋を中心に開催される都内最大級のよさこい祭りで、全国から集まる踊り子が街を彩る。,,,,,2026-04-29
anotsu_yosakoi_2026,安濃津よさこい,Approved,,https://anotsu-yosakoi.com/,2026-10-10,2026-10-11,三重県津市内各会場,,,,歴史と伝統を重んじながら、広く開かれた市民参加型のよさこい文化を築くことを目的とする祭り。,,,,,2026-04-29
harajuku_super_yosakoi_2026,原宿表参道元氣祭スーパーよさこい,Approved,,https://www.super-yosakoi.tokyo/,2026-08-29,2026-08-30,東京都渋谷区原宿・表参道周辺,,,,原宿・表参道周辺で開催される明治神宮奉納のよさこい祭り。,,,,,2026-04-29
yosakoi_in_fuchu_2026,よさこいin府中,Approved,,https://www.yosakoiinfuchu.com/aboutus.html,2026-10-31,2026-11-01,東京都府中市（東府中 平和通り会場、馬場大門のけやき並木 流し踊り会場、ミッテン2階ペデ会場、バルトホール会場）,10/31 15チーム、11/1 40チーム,,,けやきフェスタとして開催される府中のよさこい祭り。,,,,,2026-04-29
yokohama_yosakoi_2026,横浜よさこい祭り～良い世さ来い～,Approved,,https://www.yokohama-yosakoi.com/,2026-10-17,2026-10-18,神奈川県横浜市,,,,市民手作りの横浜よさこい祭り。,,,,,2026-04-29
shonan_yosakoi_2025,湘南よさこい祭り,Approved,,https://shonan-yosakoi.com/,2026-06-07,2026-06-07,神奈川県平塚市（見附台公園・芝生広場、湘南スターモール）,,,,鳴子の響きが湘南ひらつかに夏の訪れを告げる祭り。相州須賀甚句をもとに生まれたオフィシャル曲「須賀よさこい」を軸に、世代と地域を超えた交流と地域経済の活性化を目指す。,https://www.youtube.com/watch?v=ES0v7m4DRUQ,,,,2026-04-29
yosakoi_tokaido_2025,よさこい東海道,Approved,,https://www.tokaido-yosakoi.com/,2026-11-22,2026-11-23,静岡県沼津市（11/22: アーケード演舞場・上本通り演舞場・かのがわパーク、11/23: キラメッセ）,11/22は40チーム程度、11/23は10チーム程度予定,,,1997年スタートから30年目を迎える沼津のよさこい祭り。より多くの人と世代に楽しんでもらうため、「沼津秋まつり」前日祭として開催される。,https://www.youtube.com/watch?v=3F_NRF-vLEM,,,,2026-04-29
yosakoi_kasuya_2025,YOSAKOIかすや祭り,Approved,,https://www.yosakoi-kasuya.com/,2026-10-10,2026-10-11,福岡県粕屋町（かすやドーム会場、交流広場会場、かすや商工祭会場、イオンモール福岡特設会場）,,,周辺駐車場が限られるため公共交通機関利用推奨,町民主体で企画・運営される祭りで、町民相互と全国各地の参加者との交流の輪を広げ、『人づくり・まちづくり・健康づくり』を目指す。,https://youtu.be/7VPww8d9Ltc,33.610748,130.483582,"https://www.google.com/maps/search/?api=1&query=33.610748,130.483582",2026-04-29
saika_matsuri_kanto_yosakoi_2026,朝霞市民まつり「彩夏祭」関八州よさこいフェスタ,Approved,,https://saikasai.com/yosakoi/,2026-07-31,2026-08-02,埼玉県朝霞市（朝霞会場・北朝霞会場）,,朝霞駅 / 北朝霞駅,,「彩夏祭」で行われる本州で最古のよさこい鳴子踊りの祭典。高知のよさこい祭り、北海道のよさこいソーラン祭りに続く関東地方の鳴子踊りの一大拠点を目指して開催される。,https://www.youtube.com/@saikasaicom,35.796007,139.5999242,"https://www.google.com/maps/search/?api=1&query=35.7960070,139.5999242",2026-04-29
dream_yosakoi_2026,ドリーム夜さ来い祭り,Approved,,https://www.dreamyosacoy.jp/,2026-11-07,2026-11-08,東京都（お台場エリア・丸の内エリア）,"約5,000名予定",ゆりかもめ台場駅 / ゆりかもめ東京ビッグサイト駅 / JR東京駅,,全国各地のよさこい鳴子踊りをルーツにもつチームを中心とした、オリジナル舞踏の多様な祭り。無料観覧と一部有料席、YouTube無料ライブ配信を組み合わせたハイブリッド開催予定。,https://www.youtube.com/watch?v=-W8I4wmGeRs,35.6278603,139.7718513,"https://www.google.com/maps/search/?api=1&query=35.6278603,139.7718513",2026-04-29
kishu_yosakoi_shoka_2026,おどるんや～紀州よさこい初夏まつり,Approved,,https://www.odorunya.com/,2026-06-07,2026-06-07,和歌山県和歌山市 和歌山ビッグホエール,,,,和歌山で行われるよさこい祭りの初夏開催イベント。公式サイトで祭り情報とエントリー情報を案内している。,https://www.youtube.com/user/kishuyosakoi1,34.2213127,135.1908484,"https://www.google.com/maps/search/?api=1&query=34.2213127,135.1908484",2026-04-29
